Software providor ID,Customer Type,Annual Charges ,Biggest market,Invoice generation,E invoice generation,Delivery challan Generation,E way bill generation,LR generation,Multi user compatibility,Multi tenant usability,Tasks management,Customization,Vehicle allocation,Inventory Management,Integrated Payment gatways,Logistics management,Customer management,User satisfied
I138884,SME,150000,New Delhi,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I317333,Large,150000,Kolkata,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes
I127801,ALL,25000,Kolkata,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
I173702,ALL,200000,Kolkata,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
I337046,SME,150000,Hyderabad,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
I227836,Large,60000,Madhya Pradesh,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
I121056,Large,100000,Kerala,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
I293112,ALL,200000,Pune,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
I293455,SME,200000,Chennai,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
I326945,SME,150000,Hyderabad,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes
I306368,ALL,60000,New Delhi,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes
I139207,ALL,100000,Chennai,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
I640508,ALL,100000,Bangalore,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
I179802,ALL,100000,Pune,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
I336189,Large,80000,Mumbai,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
I688768,Large,25000,Mumbai,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
I294687,SME,80000,Madhya Pradesh,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes
I195744,Large,100000,Madhya Pradesh,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No
I993048,SME,100000,Pune,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
I992454,ALL,25000,New Delhi,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
I183746,SME,25000,Mumbai,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
I412481,ALL,100000,Kerala,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes
I823067,ALL,200000,Pune,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
I252275,Large,200000,Mumbai,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
I174250,ALL,80000,Pune,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No
I195396,SME,150000,Pune,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No
I196704,Large,100000,New Delhi,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
I217053,ALL,60000,Hyderabad,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes
I655874,ALL,25000,New Delhi,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
I209744,Large,60000,Mumbai,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No
I161949,Large,60000,Kolkata,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
I331891,SME,150000,Chennai,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
I768348,SME,60000,Mumbai,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
I109053,SME,60000,Bangalore,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
I167211,Large,60000,Hyderabad,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
I339732,ALL,150000,Bangalore,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
I147062,SME,200000,Chennai,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
I187519,SME,100000,Pune,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
I106674,SME,25000,Pune,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
I473411,ALL,80000,Mumbai,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
I246550,SME,200000,Hyderabad,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes
I138674,ALL,25000,Pune,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
I752693,ALL,100000,Pune,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
I826174,SME,25000,Jaipur,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
I296025,ALL,100000,New Delhi,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
I117291,SME,200000,Mumbai,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
I267193,SME,100000,Bangalore,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No
I205366,Large,150000,Pune,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes
